set_id,drug_name,ndc_code,manufacturer,dosage_form,approval_type,warning_level,loinc_code,triggering_text
5bb2f9bc-a5f2-4d54-8ee4-458af72c70f8,Divalproex Sodium,54868-6072,"Physicians Total Care, Inc.","TABLET, DELAYED RELEASE",ANDA,silent,,
40d12d97-152d-4fea-bc59-b69e5c29fde2,Tekturna HCT,54868-6041,"Physicians Total Care, Inc.","TABLET, FILM COATED",NDA,silent,,
4735f5c3-3038-4e1b-9fe4-47158550f14b,Zolpidem Tartrate,54868-6189,"Physicians Total Care, Inc.","TABLET, FILM COATED, EXTENDED RELEASE",ANDA,silent,,
b6847040-4624-449b-bff5-c3cd0f5786c1,Ibuprofen,54868-0079,"Physicians Total Care, Inc.",TABLET,ANDA,silent,,
e2ec8e47-8f4e-44cc-82ff-1d4511d3fadd,Gemfibrozil,67046-231,Contract Pharmacy Services-PA,"TABLET, FILM COATED",ANDA,silent,,
c119ed19-5dc6-4c03-b705-2616c65ef041,Lansoprazole,21695-474,Rebel Distributors Corp,"CAPSULE, DELAYED RELEASE",NDA,silent,,
d7cf7ed9-d7b4-4dcc-8a25-a9177c54f847,Etodolac,21695-050,Rebel Distributors Corp,"TABLET, FILM COATED",ANDA,silent,,
f168b0a9-4e9a-47f7-b391-edcea871956e,Pilocarpine Hydrochloride,21695-601,Rebel Distributors Corp,TABLET,ANDA,silent,,
4021a77c-36ad-4f3a-bb4b-b44de96173b2,Allegra D-12 Hour,54868-4258,"Physicians Total Care, Inc.","TABLET, EXTENDED RELEASE",NDA,silent,,
046da5ed-06d5-46fc-b734-de5c2978d261,AugmentinXR,54868-4735,"Physicians Total Care, Inc.","TABLET, FILM COATED, EXTENDED RELEASE",NDA,silent,,
166abd26-675e-4832-9d18-0567f2a9d4e4,EPIVIR,21695-367,Rebel Distributors Corp,"TABLET, FILM COATED",NDA,silent,,
d8540843-055c-47fb-9cff-81e64b1d41c3,COMBIVIR,21695-846,Rebel Distributors Corp,"TABLET, FILM COATED",NDA,silent,,
fb0ff563-b87b-439b-885d-49572d3c0c12,AZITHROMYCIN,55648-962,WOCKHARDT LIMITED,"TABLET, FILM COATED",ANDA,silent,,
e196c127-c081-43a7-8f0d-be3e2b434b50,Levetiracetam,68180-115,"Lupin Pharmaceuticals, Inc","TABLET, FILM COATED",ANDA,silent,,
1cb783ed-5496-4b4d-995b-e81157f9f8d1,ROPINIROLE HYDROCHLORIDE,21695-792,Rebel Distributors Corp,"TABLET, COATED",ANDA,silent,,
3740dcc6-9ee8-4187-9112-632050043240,Rozerem,21695-183,Rebel Distributors Corp,"TABLET, FILM COATED",NDA,silent,,
48b10c63-5d7a-4841-9faa-17ac3d4873d1,Hydroxyzine Hydrochloride,21695-378,Rebel Distributors Corp,"TABLET, FILM COATED",ANDA,silent,,
7b069c49-007c-4f77-878c-0a6c564e2717,Lunesta,21695-225,Rebel Distributors Corp,"TABLET, COATED",NDA,silent,,
c5378585-dd35-4123-82b9-91395b56c3eb,ONDANSETRON HYDROCHLORIDE,21695-834,Rebel Distributors Corp,"TABLET, FILM COATED",ANDA,silent,,
82effea8-5782-4aa5-969e-b635423ae3c6,Risperidone,67046-640,Contract Pharmacy Services-PA,"TABLET, FILM COATED",ANDA,silent,,
08214b30-3dab-4621-a6c0-6bb68529dee3,Savella,21695-650,Rebel Distributors Corp,"TABLET, FILM COATED",NDA,silent,,
232a00a4-761e-422f-b62a-1a16de631eb6,Sertraline Hydrochloride,21695-164,Rebel Distributors Corp,"TABLET, FILM COATED",ANDA,silent,,
263d7146-791a-49a3-9886-7f4631ecf968,Tramadol Hydrochloride and Acetaminophen,21695-236,Rebel Distributors Corp,TABLET,ANDA,silent,,
