"drug_name","generic_name","brand_generic","category","dosage_form","route","active_ingredients","single_or_combo","excipients_raw","gluten_flag","flagged_excipients","flagged_excipient_flags","ndc_code","package_ndc","approval_type","marketing_status","manufacturer","set_id","dailymed_url"
"hydrocodone bitartrate and acetaminophen","hydrocodone bitartrate and acetaminophen","generic","analgesic_antipyretic","TABLET","ORAL","HYDROCODONE BITARTRATE; ACETAMINOPHEN","combo","CELLULOSE, MICROCRYSTALLINE; CROSCARMELLOSE SODIUM; MAGNESIUM STEARATE; POVIDONE, UNSPECIFIED; SILICON DIOXIDE; STARCH, CORN; STEARIC ACID","gluten_free","CROSCARMELLOSE SODIUM; STARCH, CORN","gluten_free; gluten_free","63629-1181","63629-1181-1","ANDA","active","Bryant Ranch Prepack","c648e299-2a8b-4530-a061-c6fd9cd1294c","https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=c648e299-2a8b-4530-a061-c6fd9cd1294c"
"hydrocodone bitartrate and acetaminophen","hydrocodone bitartrate and acetaminophen","generic","analgesic_antipyretic","TABLET","ORAL","HYDROCODONE BITARTRATE; ACETAMINOPHEN","combo","CELLULOSE, MICROCRYSTALLINE; CROSCARMELLOSE SODIUM; MAGNESIUM STEARATE; POVIDONE, UNSPECIFIED; SILICON DIOXIDE; STARCH, CORN; STEARIC ACID; FD&C BLUE NO. 1","gluten_free","CROSCARMELLOSE SODIUM; STARCH, CORN","gluten_free; gluten_free","63629-1184","63629-1184-1","ANDA","active","Bryant Ranch Prepack","c648e299-2a8b-4530-a061-c6fd9cd1294c","https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=c648e299-2a8b-4530-a061-c6fd9cd1294c"
"Cold Flu","acetaminophen, dextromethorphan hydrobromide","otc_monograph","analgesic_antipyretic","SOLUTION","ORAL","ACETAMINOPHEN; DEXTROMETHORPHAN HYDROBROMIDE","combo","ANHYDROUS CITRIC ACID; FD&C BLUE NO. 1; FD&C RED NO. 40; GLYCERIN; PROPYLENE GLYCOL; WATER; SACCHARIN SODIUM; SODIUM BENZOATE; SODIUM CITRATE, UNSPECIFIED FORM; SORBITOL SOLUTION; SUCRALOSE; XANTHAN GUM","gluten_free","XANTHAN GUM","gluten_free","42507-532","42507-532-40","OTC Monograph Drug","active","HyVee Inc","cc371bc3-ba7a-430d-9ee4-22e9c50935f1","https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=cc371bc3-ba7a-430d-9ee4-22e9c50935f1"
"Daytime Nighttime Multi Symptom Cold","Dextromethorphan HBr,Guaifenesin,Phenylephrine HCl,Acetaminophen,Diphenhydramine HCl, Phenylephrine HCl","otc_monograph","analgesic_antipyretic","KIT","ORAL","","single","","no_data","","","0363-4200","0363-4200-08","OTC Monograph Drug","active","Walgreens","da4c36f5-ec79-4489-bb18-8ddab79c34bd","https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=da4c36f5-ec79-4489-bb18-8ddab79c34bd"
"hydrocodone bitartrate and acetaminophen","hydrocodone bitartrate and acetaminophen","generic","analgesic_antipyretic","TABLET","ORAL","HYDROCODONE BITARTRATE; ACETAMINOPHEN","combo","MICROCRYSTALLINE CELLULOSE; CROSCARMELLOSE SODIUM; MAGNESIUM STEARATE; POVIDONE, UNSPECIFIED; SILICON DIOXIDE; STARCH, CORN; STEARIC ACID","gluten_free","CROSCARMELLOSE SODIUM; STARCH, CORN","gluten_free; gluten_free","63629-1180","63629-1180-1","ANDA","active","Bryant Ranch Prepack","f08ea7a7-211e-4e0b-88c3-8f29a567fdc0","https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=f08ea7a7-211e-4e0b-88c3-8f29a567fdc0"
"Sedalmex XL Flu","Acetaminophen, Dextromethorphan HBr, Guaifenesin, Phenylephrine HCl","otc_monograph","analgesic_antipyretic","TABLET, FILM COATED","ORAL","ACETAMINOPHEN; DEXTROMETHORPHAN HYDROBROMIDE; GUAIFENESIN; PHENYLEPHRINE HYDROCHLORIDE","combo","STARCH, CORN; CROSPOVIDONE, UNSPECIFIED; FD&C YELLOW NO. 6 ALUMINUM LAKE; MAGNESIUM STEARATE; MALTODEXTRIN; MICROCRYSTALLINE CELLULOSE; POLYETHYLENE GLYCOL, UNSPECIFIED; POLYVINYL ALCOHOL, UNSPECIFIED; POVIDONE, UNSPECIFIED; SILICON DIOXIDE; SODIUM STARCH GLYCOLATE TYPE A POTATO; STEARIC ACID; TALC; TITANIUM DIOXIDE","gluten_free","STARCH, CORN; MALTODEXTRIN; SODIUM STARCH GLYCOLATE TYPE A POTATO","gluten_free; gluten_free; gluten_free","27854-350","","OTC Monograph Drug","active","Belmora LLC","f2edfedf-e06e-4d1b-8c2d-732e08ec113c","https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=f2edfedf-e06e-4d1b-8c2d-732e08ec113c"
"Pain Reliever","Acetaminophen","otc_monograph","analgesic_antipyretic","LIQUID","ORAL","ACETAMINOPHEN","single","ANHYDROUS CITRIC ACID; D&C RED NO. 33; FD&C RED NO. 40; HIGH FRUCTOSE CORN SYRUP; POLYETHYLENE GLYCOL, UNSPECIFIED; PROPYLENE GLYCOL; WATER; SACCHARIN SODIUM; SODIUM BENZOATE; SORBITOL","gluten_free","HIGH FRUCTOSE CORN SYRUP","gluten_free","49580-3278","49580-3278-8","OTC Monograph Drug","completed","P & L Development, LLC","061df1fd-173a-4bd1-9600-540ac0f3964d","https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=061df1fd-173a-4bd1-9600-540ac0f3964d"
"Headache Relief","Acetaminophen, Aspirin and Caffeine","otc_monograph","analgesic_antipyretic","TABLET, FILM COATED","ORAL","ACETAMINOPHEN; ASPIRIN; CAFFEINE","combo","STARCH, CORN; CROSPOVIDONE, UNSPECIFIED; HYPROMELLOSE, UNSPECIFIED; MICROCRYSTALLINE CELLULOSE; POVIDONE, UNSPECIFIED; PROPYLENE GLYCOL; SODIUM LAURYL SULFATE; SODIUM STARCH GLYCOLATE TYPE A POTATO; STEARIC ACID; TITANIUM DIOXIDE","gluten_free","STARCH, CORN; SODIUM STARCH GLYCOLATE TYPE A POTATO","gluten_free; gluten_free","57243-334","","OTC Monograph Drug","active","Salado Sales, Inc.","0666f082-84f3-4041-a322-311188a15670","https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=0666f082-84f3-4041-a322-311188a15670"
"Hydrocodone Bitartrate and Acetaminophen","Hydrocodone Bitartrate and Acetaminophen","generic","analgesic_antipyretic","TABLET","ORAL","HYDROCODONE BITARTRATE; ACETAMINOPHEN","combo","SILICON DIOXIDE; MAGNESIUM STEARATE; CROSPOVIDONE; POVIDONE K30; STARCH, CORN; STEARIC ACID","gluten_free","STARCH, CORN","gluten_free","72162-2271","72162-2271-1","ANDA","active","Bryant Ranch Prepack","29491adb-d95d-4f68-ac01-61bad73e08fc","https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=29491adb-d95d-4f68-ac01-61bad73e08fc"
"CHILDRENS PAIN AND FEVER","Acetaminophen","otc_monograph","analgesic_antipyretic","SUSPENSION","ORAL","ACETAMINOPHEN","single","ANHYDROUS CITRIC ACID; CALCIUM SULFATE, UNSPECIFIED FORM; CARRAGEENAN; D&C RED NO. 33; FD&C RED NO. 40; GLYCERIN; HIGH FRUCTOSE CORN SYRUP; HYDROXYETHYL CELLULOSE, UNSPECIFIED; MICROCRYSTALLINE CELLULOSE; CARBOXYMETHYLCELLULOSE SODIUM, UNSPECIFIED; PROPYLENE GLYCOL; WATER; SODIUM BENZOATE; SORBITOL SOLUTION; SODIUM PHOSPHATE, TRIBASIC","gluten_free","HIGH FRUCTOSE CORN SYRUP","gluten_free","42507-148","42507-148-00","OTC Monograph Drug","active","HyVee Inc","3b08738e-cde2-4843-b609-8f12582c6d08","https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=3b08738e-cde2-4843-b609-8f12582c6d08"
