"drug_name","generic_name","brand_generic","category","dosage_form","route","active_ingredients","single_or_combo","excipients_raw","gluten_flag","flagged_excipients","flagged_excipient_flags","ndc_code","package_ndc","approval_type","marketing_status","manufacturer","set_id","dailymed_url"
"Acetaminophen and Diphenhydramine hydrochloride","Acetaminophen and Diphenhydramine hydrochloride","otc_monograph","analgesic_antipyretic","TABLET","ORAL","ACETAMINOPHEN; DIPHENHYDRAMINE HYDROCHLORIDE","combo","AMMONIA; FERROSOFERRIC OXIDE; SILICON DIOXIDE; CROSCARMELLOSE SODIUM; FD&C BLUE NO. 1; FD&C RED NO. 3; GELATIN, UNSPECIFIED; HYDROXYPROPYL CELLULOSE (110000 WAMW); MAGNESIUM STEARATE; MICROCRYSTALLINE CELLULOSE 101; MICROCRYSTALLINE CELLULOSE 102; POLYETHYLENE GLYCOL 4000; POVIDONE K90; STARCH, CORN; PROPYLENE GLYCOL; SHELLAC; TALC; TITANIUM DIOXIDE","gluten_free","CROSCARMELLOSE SODIUM; STARCH, CORN","gluten_free; gluten_free","58602-760","","OTC Monograph Drug","active","Aurohealth LLC","3ba51b52-7ae6-4335-b178-1b7b6ef36227","https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=3ba51b52-7ae6-4335-b178-1b7b6ef36227"
"Good Sense Childrens Pain and Fever","Acetaminophen","otc_monograph","analgesic_antipyretic","SUSPENSION","ORAL","ACETAMINOPHEN","single","ANHYDROUS CITRIC ACID; BUTYLPARABEN; CALCIUM SULFATE, UNSPECIFIED FORM; CARRAGEENAN; D&C RED NO. 33; FD&C BLUE NO. 1; GLYCERIN; HIGH FRUCTOSE CORN SYRUP; MICROCRYSTALLINE CELLULOSE; CARBOXYMETHYLCELLULOSE SODIUM, UNSPECIFIED; PROPYLENE GLYCOL; WATER; SODIUM BENZOATE; SORBITOL; SODIUM PHOSPHATE, TRIBASIC","gluten_free","HIGH FRUCTOSE CORN SYRUP","gluten_free","71205-601","","OTC Monograph Drug","active","Proficient Rx LP","46527b1f-7515-44ce-b5cb-9d24223b9af1","https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=46527b1f-7515-44ce-b5cb-9d24223b9af1"
"Acetaminophen Extra Strength","Acetaminophen","otc_monograph","analgesic_antipyretic","TABLET","ORAL","ACETAMINOPHEN","single","POVIDONE K30; STARCH, CORN; PALMITOSTEARIC ACID","gluten_free","STARCH, CORN","gluten_free","58602-776","58602-776-88","OTC Monograph Drug","active","Aurohealth LLC","57bb1acc-b9a0-48cd-8e5c-33712441ce81","https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=57bb1acc-b9a0-48cd-8e5c-33712441ce81"
"Maximum Strength Mucinex Fast-Max Cold and Flu","Acetaminophen, Dextromethorphan Hydrobromide, Guaifenesin, and Phenylephrine Hydrochloride","otc_monograph","analgesic_antipyretic","TABLET, FILM COATED","ORAL","ACETAMINOPHEN; DEXTROMETHORPHAN HYDROBROMIDE; GUAIFENESIN; PHENYLEPHRINE HYDROCHLORIDE","combo","CROSCARMELLOSE SODIUM; CROSPOVIDONE; FD&C RED NO. 40; FD&C YELLOW NO. 6; ALUMINUM OXIDE; MAGNESIUM STEARATE; MICROCRYSTALLINE CELLULOSE; POLYETHYLENE GLYCOL, UNSPECIFIED; POLYVINYL ALCOHOL, UNSPECIFIED; POVIDONE, UNSPECIFIED; TALC; TITANIUM DIOXIDE","gluten_free","CROSCARMELLOSE SODIUM","gluten_free","63824-575","","OTC Monograph Drug","completed","RB Health (US) LLC","8a790eeb-7d7d-4a94-9103-6ed09c04d596","https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=8a790eeb-7d7d-4a94-9103-6ed09c04d596"
"Aurophen Regular Strength","Acetaminophen","otc_monograph","analgesic_antipyretic","TABLET","ORAL","ACETAMINOPHEN","single","SILICON DIOXIDE; HYDROXYPROPYL CELLULOSE (1600000 WAMW); MAGNESIUM STEARATE; STARCH, CORN; SODIUM STARCH GLYCOLATE TYPE A POTATO; TALC","gluten_free","STARCH, CORN; SODIUM STARCH GLYCOLATE TYPE A POTATO","gluten_free; gluten_free","58602-754","","OTC Monograph Drug","active","Aurohealth LLC","8eda893f-5266-4b7a-95b9-2e194973cf06","https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=8eda893f-5266-4b7a-95b9-2e194973cf06"
"Acetaminophen","Acetaminophen","otc_monograph","analgesic_antipyretic","TABLET","ORAL","ACETAMINOPHEN","single","POVIDONE K30; STARCH, CORN; PALMITOSTEARIC ACID","gluten_free","STARCH, CORN","gluten_free","58602-773","58602-773-21","OTC Monograph Drug","active","Aurohealth LLC","a4ff94b9-c248-4cd3-8491-38e9555cc22e","https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=a4ff94b9-c248-4cd3-8491-38e9555cc22e"
"Aurophen Extra Strength for Adults","Acetaminophen","otc_monograph","analgesic_antipyretic","TABLET","ORAL","ACETAMINOPHEN","single","SILICON DIOXIDE; HYDROXYPROPYL CELLULOSE (1600000 WAMW); HYPROMELLOSE, UNSPECIFIED; MAGNESIUM STEARATE; POLYETHYLENE GLYCOL, UNSPECIFIED; STARCH, CORN; PROPYLENE GLYCOL; SODIUM STARCH GLYCOLATE TYPE A POTATO; TALC; TITANIUM DIOXIDE","gluten_free","STARCH, CORN; SODIUM STARCH GLYCOLATE TYPE A POTATO","gluten_free; gluten_free","58602-755","","OTC Monograph Drug","active","Aurohealth LLC","a769094b-1e91-4ca7-ba67-21aa7e312910","https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=a769094b-1e91-4ca7-ba67-21aa7e312910"
"Acetaminophen, Aspirin, Caffeine","Acetaminophen, Aspirin, Caffeine","otc_monograph","analgesic_antipyretic","TABLET, FILM COATED","ORAL","ASPIRIN; CAFFEINE; ACETAMINOPHEN","combo","POLYDEXTROSE; STEARIC ACID; MICROCRYSTALLINE CELLULOSE; POVIDONE K30; HYPROMELLOSE, UNSPECIFIED; TALC; TITANIUM DIOXIDE; MALTODEXTRIN; STARCH, CORN; SILICON DIOXIDE; MEDIUM-CHAIN TRIGLYCERIDES","gluten_free","MALTODEXTRIN; STARCH, CORN","gluten_free; gluten_free","82804-008","82804-008-30","OTC Monograph Drug","active","Proficient Rx LP","af8b30a0-7a56-4557-8404-cc8059fcd6bc","https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=af8b30a0-7a56-4557-8404-cc8059fcd6bc"
"Acetaminophen Extra Strength","Acetaminophen","otc_monograph","analgesic_antipyretic","TABLET","ORAL","ACETAMINOPHEN","single","AMMONIA; FERROSOFERRIC OXIDE; SILICON DIOXIDE; FD&C BLUE NO. 1; FD&C RED NO. 3; FD&C RED NO. 40; GELATIN, UNSPECIFIED; HYDROXYPROPYL CELLULOSE, UNSPECIFIED; MAGNESIUM STEARATE; POLYETHYLENE GLYCOL, UNSPECIFIED; STARCH, CORN; PROPYLENE GLYCOL; SHELLAC; SODIUM STARCH GLYCOLATE TYPE A POTATO; TALC; TITANIUM DIOXIDE","gluten_free","STARCH, CORN; SODIUM STARCH GLYCOLATE TYPE A POTATO","gluten_free; gluten_free","58602-745","","OTC Monograph Drug","active","Aurohealth LLC","bc03fa56-8880-4bbd-81a0-91853fecdd4e","https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=bc03fa56-8880-4bbd-81a0-91853fecdd4e"
"Acetaminophen Regular Strength","Acetaminophen","otc_monograph","analgesic_antipyretic","TABLET","ORAL","ACETAMINOPHEN","single","POVIDONE K30; STARCH, CORN; PALMITOSTEARIC ACID","gluten_free","STARCH, CORN","gluten_free","58602-775","","OTC Monograph Drug","active","Aurohealth LLC","cc0ab7a1-e535-4dc8-962f-c58949fc1737","https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=cc0ab7a1-e535-4dc8-962f-c58949fc1737"
"Aurophen Extra Strength for Adults","Acetaminophen","otc_monograph","analgesic_antipyretic","TABLET","ORAL","ACETAMINOPHEN","single","SILICON DIOXIDE; HYDROXYPROPYL CELLULOSE (1600000 WAMW); HYPROMELLOSE, UNSPECIFIED; MAGNESIUM STEARATE; POLYETHYLENE GLYCOL, UNSPECIFIED; STARCH, CORN; PROPYLENE GLYCOL; SODIUM STARCH GLYCOLATE TYPE A POTATO; TALC; TITANIUM DIOXIDE","gluten_free","STARCH, CORN; SODIUM STARCH GLYCOLATE TYPE A POTATO","gluten_free; gluten_free","58602-771","58602-771-36","OTC Monograph Drug","active","Aurohealth LLC","d59c5f04-4bcc-4a52-a42f-e049506f00de","https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=d59c5f04-4bcc-4a52-a42f-e049506f00de"
"OXYCODONE AND ACETAMINOPHEN","oxycodone and acetaminophen","generic","analgesic_antipyretic","TABLET","ORAL","OXYCODONE HYDROCHLORIDE; ACETAMINOPHEN","combo","SILICON DIOXIDE; STARCH, CORN; CROSPOVIDONE, UNSPECIFIED; CROSCARMELLOSE SODIUM; CELLULOSE, MICROCRYSTALLINE; STEARIC ACID; MAGNESIUM STEARATE; FD&C BLUE NO. 1","gluten_free","STARCH, CORN; CROSCARMELLOSE SODIUM","gluten_free; gluten_free","67296-1855","67296-1855-5","ANDA","active","Redpharm Drug, Inc","0b3bb82e-b9eb-4b3f-e063-6394a90aec0a","https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=0b3bb82e-b9eb-4b3f-e063-6394a90aec0a"
"OXYCODONE AND ACETAMINOPHEN","oxycodone and acetaminophen","generic","analgesic_antipyretic","TABLET","ORAL","OXYCODONE HYDROCHLORIDE; ACETAMINOPHEN","combo","SILICON DIOXIDE; STARCH, CORN; CROSPOVIDONE; CROSCARMELLOSE SODIUM; MICROCRYSTALLINE CELLULOSE; STEARIC ACID; MAGNESIUM STEARATE; FD&C BLUE NO. 1","gluten_free","STARCH, CORN; CROSCARMELLOSE SODIUM","gluten_free; gluten_free","71335-9674","71335-9674-1","ANDA","active","Bryant Ranch Prepack","25c03c47-0057-41b6-a530-c6ea85eb750f","https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=25c03c47-0057-41b6-a530-c6ea85eb750f"
"Stona","acetaminophen, chlorpheniramine maleate, dextromethorphan hydrobromide, phenylephrine hydrochloride","otc_monograph","analgesic_antipyretic","TABLET","ORAL","ACETAMINOPHEN; CHLORPHENIRAMINE MALEATE; DEXTROMETHORPHAN HYDROBROMIDE; PHENYLEPHRINE HYDROCHLORIDE","combo","CARBOXYMETHYLCELLULOSE; CALCIUM PHOSPHATE, DIBASIC, ANHYDROUS; GLYCERIN; HYPROMELLOSES; MAGNESIUM STEARATE; POLYETHYLENE GLYCOL 6000; POLYVINYL ALCOHOL; SUCROSE; TITANIUM DIOXIDE","gluten_free","","","49873-114","","OTC Monograph Drug","active","Sato Pharmaceutical Co., Ltd.","8b89f50d-88f8-4773-92ea-5ada61766056","https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=8b89f50d-88f8-4773-92ea-5ada61766056"
"CHILDRENS PAIN RELIEF","acetaminophen","otc_monograph","analgesic_antipyretic","TABLET, CHEWABLE","ORAL","ACETAMINOPHEN","single","ANHYDROUS CITRIC ACID; SILICON DIOXIDE; COPOVIDONE K25-31; CROSPOVIDONE (120 .MU.M); D&C RED NO. 27; D&C RED NO. 30; DEXTROSE MONOHYDRATE; ETHYLCELLULOSE (4 MPA.S); MAGNESIUM STEARATE; MANNITOL; SODIUM STARCH GLYCOLATE TYPE A POTATO; STEARIC ACID; SUCRALOSE","gluten_free","SODIUM STARCH GLYCOLATE TYPE A POTATO","gluten_free","21130-223","","OTC Monograph Drug","active","Better Living Brands, LLC","fadb4c09-071f-56c0-e053-6294a90ae6c1","https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=fadb4c09-071f-56c0-e053-6294a90ae6c1"
"Acetaminophen and Diphenhydramine hydrochloride","Acetaminophen and Diphenhydramine hydrochloride","otc_monograph","analgesic_antipyretic","TABLET","ORAL","ACETAMINOPHEN; DIPHENHYDRAMINE HYDROCHLORIDE","combo","AMMONIA; FERROSOFERRIC OXIDE; SILICON DIOXIDE; CROSCARMELLOSE SODIUM; FD&C BLUE NO. 1; FD&C RED NO. 3; GELATIN, UNSPECIFIED; HYDROXYPROPYL CELLULOSE (110000 WAMW); MAGNESIUM STEARATE; MICROCRYSTALLINE CELLULOSE 101; MICROCRYSTALLINE CELLULOSE 102; POLYETHYLENE GLYCOL 4000; POVIDONE K90; STARCH, CORN; PROPYLENE GLYCOL; SHELLAC; TALC; TITANIUM DIOXIDE","gluten_free","CROSCARMELLOSE SODIUM; STARCH, CORN","gluten_free; gluten_free","21130-224","","OTC Monograph Drug","active","Better Living Brands, LLC","fc07d516-9ffe-9989-e053-6294a90ae1a5","https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=fc07d516-9ffe-9989-e053-6294a90ae1a5"
"NOTTS - Tension Headache","Acetaminophen, Caffeine","otc_monograph","analgesic_antipyretic","TABLET","ORAL","ACETAMINOPHEN; CAFFEINE","combo","TALC; D&C RED NO. 27 ALUMINUM LAKE; SODIUM STARCH GLYCOLATE TYPE A; STARCH, CORN; MAGNESIUM STEARATE; MICROCRYSTALLINE CELLULOSE; SODIUM LAURYL SULFATE; POVIDONE; CROSCARMELLOSE SODIUM; POLACRILIN POTASSIUM","unknown","SODIUM STARCH GLYCOLATE TYPE A; STARCH, CORN; CROSCARMELLOSE SODIUM","unknown; gluten_free; gluten_free","82706-010","","OTC Monograph Drug","active","VIVUNT PHARMA LLC","08f2ae03-967b-ad7e-e063-6294a90a8484","https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=08f2ae03-967b-ad7e-e063-6294a90a8484"
"Acetaminophen, Aspirin and Caffeine","Acetaminophen, Aspirin and Caffeine","generic","analgesic_antipyretic","TABLET","ORAL","ACETAMINOPHEN; ASPIRIN; CAFFEINE","combo","SODIUM STEARYL FUMARATE; POLYETHYLENE GLYCOL 400; MICROCRYSTALLINE CELLULOSE; CARNAUBA WAX; TITANIUM DIOXIDE; HYDROXYPROPYL CELLULOSE (110000 WAMW); HYPROMELLOSE 2910 (6 MPA.S)","gluten_free","","","71309-079","71309-079-03","ANDA","active","Safrel Pharmaceuticals, LLC.","0ac07846-5f04-dc4b-e063-6394a90ac8ca","https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=0ac07846-5f04-dc4b-e063-6394a90ac8ca"
"Sanatos Multi Symptom Daytime","Acetaminophen, Dextromethorphan HBr, Phenylephrine HCI","otc_monograph","analgesic_antipyretic","LIQUID","ORAL","DEXTROMETHORPHAN HYDROBROMIDE; PHENYLEPHRINE HYDROCHLORIDE; ACETAMINOPHEN","combo","ANHYDROUS CITRIC ACID; WATER; FD&C YELLOW NO. 6; GLYCERIN; SUCROSE; PROPYLENE GLYCOL; SODIUM BENZOATE; SACCHARIN SODIUM","gluten_free","","","55758-055","55758-055-06","OTC Monograph Drug","completed","Pharmadel LLC","0ab11691-5b29-55fc-e063-6394a90aa328","https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=0ab11691-5b29-55fc-e063-6394a90aa328"
"Sanatos Nighttime Multi Symptoms","Acetaminophen, Dextromethorphan HBr, Doxylamine Succinate","otc_monograph","analgesic_antipyretic","LIQUID","ORAL","DOXYLAMINE SUCCINATE; DEXTROMETHORPHAN HYDROBROMIDE; ACETAMINOPHEN","combo","ANHYDROUS CITRIC ACID; FD&C GREEN NO. 3; D&C YELLOW NO. 10; SACCHARIN SODIUM; SODIUM BENZOATE; SODIUM CITRATE; PROPYLENE GLYCOL; SUCROSE; WATER; FD&C YELLOW NO. 6; GLYCERIN; POLYETHYLENE GLYCOL, UNSPECIFIED","gluten_free","","","55758-056","55758-056-25","OTC Monograph Drug","active","Pharmadel LLC","0ab188f3-f7f9-d665-e063-6294a90a198a","https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=0ab188f3-f7f9-d665-e063-6294a90a198a"
"Rugby Regular Strength Acetaminophen","Acetaminophen","otc_monograph","analgesic_antipyretic","TABLET","ORAL","ACETAMINOPHEN","single","POVIDONE, UNSPECIFIED; STARCH, CORN; SODIUM STARCH GLYCOLATE TYPE A CORN; STEARIC ACID","gluten_free","STARCH, CORN; SODIUM STARCH GLYCOLATE TYPE A CORN","gluten_free; gluten_free","50090-5971","50090-5971-6","OTC Monograph Drug","active","A-S Medication Solutions","400d4a29-9e39-4e74-8272-37be5d789924","https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=400d4a29-9e39-4e74-8272-37be5d789924"
"HYDROCODONE BITARTRATE AND ACETAMINOPHEN","HYDROCODONE BITARTRATE AND ACETAMINOPHEN","generic","analgesic_antipyretic","TABLET","ORAL","HYDROCODONE BITARTRATE; ACETAMINOPHEN","combo","CROSPOVIDONE (15 MPA.S AT 5%); MAGNESIUM STEARATE; MICROCRYSTALLINE CELLULOSE; POVIDONE, UNSPECIFIED; STARCH, CORN; SILICON DIOXIDE; STEARIC ACID","gluten_free","STARCH, CORN","gluten_free","67296-1890","67296-1890-9","ANDA","active","RedPharm Drug, Inc","0ab05226-0f18-c929-e063-6294a90ad95a","https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=0ab05226-0f18-c929-e063-6294a90ad95a"
"Multi-Symptom Mapap Cold Formula","Acetaminophen, Dextromethorphan HBr, Phenylephrine HCl","otc_monograph","analgesic_antipyretic","TABLET, FILM COATED","ORAL","ACETAMINOPHEN; DEXTROMETHORPHAN HYDROBROMIDE; PHENYLEPHRINE HYDROCHLORIDE","combo","STARCH, CORN; TALC; TITANIUM DIOXIDE; MICROCRYSTALLINE CELLULOSE; CROSCARMELLOSE SODIUM; MAGNESIUM STEARATE; POLYETHYLENE GLYCOL, UNSPECIFIED; POLYVINYL ALCOHOL, UNSPECIFIED; POVIDONE, UNSPECIFIED","gluten_free","STARCH, CORN; CROSCARMELLOSE SODIUM","gluten_free; gluten_free","63187-652","","OTC Monograph Drug","active","Proficient Rx LP","9bf81b26-38b4-486c-ae89-222119ce1a4f","https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=9bf81b26-38b4-486c-ae89-222119ce1a4f"
"Acetaminophen","Acetaminophen","otc_monograph","analgesic_antipyretic","LIQUID","ORAL","ACETAMINOPHEN","single","CITRIC ACID MONOHYDRATE; FD&C RED NO. 40; POLYETHYLENE GLYCOL, UNSPECIFIED; WATER; SORBITOL; SUCRALOSE; SODIUM BENZOATE; SODIUM CITRATE, UNSPECIFIED FORM; SACCHARIN SODIUM","gluten_free","","","50090-6059","50090-6059-0","OTC Monograph Drug","active","A-S Medication Solutions","1e223faa-f6d0-4235-bc4c-6cfca84a5b0a","https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=1e223faa-f6d0-4235-bc4c-6cfca84a5b0a"
"Day Time Multi-Symptom Cold and Flu Relief","ACETAMINOPHEN, DEXTROMETHORPHAN HYDROBROMIDE, PHENYLEPHRINE HCL","otc_monograph","analgesic_antipyretic","CAPSULE, LIQUID FILLED","ORAL","ACETAMINOPHEN; DEXTROMETHORPHAN HYDROBROMIDE; PHENYLEPHRINE HYDROCHLORIDE","combo","FD&C RED NO. 40; FD&C YELLOW NO. 6; GELATIN; GLYCERIN; POLYETHYLENE GLYCOL, UNSPECIFIED; POVIDONE; PROPYLENE GLYCOL; WATER; SORBITOL SOLUTION; TITANIUM DIOXIDE","gluten_free","","","53943-604","53943-604-03","OTC Monograph Drug","active","Discount Drug Mart","44cd850f-0e82-4bc1-9fdf-0c096de06576","https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=44cd850f-0e82-4bc1-9fdf-0c096de06576"
"Daytime Cold and Flu","Acetaminophen 325mg/ Dextromethorphan HBr 10mg/ Phenylephrine HCl 5mg","otc_monograph","analgesic_antipyretic","CAPSULE","ORAL","ACETAMINOPHEN; DEXTROMETHORPHAN HYDROBROMIDE; PHENYLEPHRINE HYDROCHLORIDE","combo","FD&C RED NO. 40; FD&C YELLOW NO. 6; GELATIN; GLYCERIN; POLYETHYLENE GLYCOL, UNSPECIFIED; POVIDONE; PROPYLENE GLYCOL; WATER; SORBITOL SOLUTION","gluten_free","","","69168-417","","OTC Monograph Drug","active","Allegiant Health","bed5f9dc-45ea-4e90-86c6-86599b6f3861","https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=bed5f9dc-45ea-4e90-86c6-86599b6f3861"
"Daytime Cold and Flu Severe, Caseys 4good","Acetaminophen, Phenylephrine, Dextromethorphan HBr, Guaifenesin tablet, film coated","otc_monograph","analgesic_antipyretic","TABLET, FILM COATED","ORAL","PHENYLEPHRINE HYDROCHLORIDE; DEXTROMETHORPHAN HYDROBROMIDE; GUAIFENESIN; ACETAMINOPHEN","combo","FD&C YELLOW NO. 6; TALC; POLYSORBATE 80; POLYETHYLENE GLYCOL, UNSPECIFIED; MALTODEXTRIN; TITANIUM DIOXIDE; MICROCRYSTALLINE CELLULOSE; CROSPOVIDONE; FD&C RED NO. 40; SODIUM STARCH GLYCOLATE TYPE A POTATO; STEARIC ACID; SILICON DIOXIDE; STARCH, CORN; MAGNESIUM STEARATE; POLYVINYL ALCOHOL, UNSPECIFIED; POVIDONE","gluten_free","MALTODEXTRIN; SODIUM STARCH GLYCOLATE TYPE A POTATO; STARCH, CORN","gluten_free; gluten_free; gluten_free","66715-6315","","OTC Monograph Drug","active","Lil' Drug Store Products, Inc.","0334259d-587e-b2d5-e063-6394a90a3e56","https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=0334259d-587e-b2d5-e063-6394a90a3e56"
"Daytime Cold and Flu Severe, Caseys 4goog","Acetaminophen, Phenylephrine, Dextromethorphan HBr, Guaifenesin tablet, film coated","otc_monograph","analgesic_antipyretic","TABLET, FILM COATED","ORAL","PHENYLEPHRINE HYDROCHLORIDE; DEXTROMETHORPHAN HYDROBROMIDE; GUAIFENESIN; ACETAMINOPHEN","combo","FD&C YELLOW NO. 6; TALC; POLYSORBATE 80; POLYETHYLENE GLYCOL, UNSPECIFIED; MALTODEXTRIN; TITANIUM DIOXIDE; MICROCRYSTALLINE CELLULOSE; CROSPOVIDONE; FD&C RED NO. 40; SODIUM STARCH GLYCOLATE TYPE A POTATO; STEARIC ACID; SILICON DIOXIDE; STARCH, CORN; MAGNESIUM STEARATE; POLYVINYL ALCOHOL, UNSPECIFIED; POVIDONE","gluten_free","MALTODEXTRIN; SODIUM STARCH GLYCOLATE TYPE A POTATO; STARCH, CORN","gluten_free; gluten_free; gluten_free","66715-6304","","OTC Monograph Drug","active","Lil' Drug Store Products, Inc.","0334259d-587e-b2d5-e063-6394a90a3e56","https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=0334259d-587e-b2d5-e063-6394a90a3e56"
"Pain Relief","Acetaminophen 500mg","otc_monograph","analgesic_antipyretic","CAPSULE, COATED","ORAL","ACETAMINOPHEN","single","HYPROMELLOSE, UNSPECIFIED; POVIDONE K30; POLYETHYLENE GLYCOL, UNSPECIFIED; STEARIC ACID; SODIUM STARCH GLYCOLATE TYPE A POTATO","gluten_free","SODIUM STARCH GLYCOLATE TYPE A POTATO","gluten_free","69168-426","69168-426-05","OTC Monograph Drug","active","Allegiant Health","0f72be92-fac0-4be4-87a3-3f20f0f01db5","https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=0f72be92-fac0-4be4-87a3-3f20f0f01db5"
"Cold Multi-Symptom","Acetaminophen,Chlorpheniramine maleate, Dextromethorphan HBr and Phenylephrine HCI","otc_monograph","analgesic_antipyretic","TABLET","ORAL","ACETAMINOPHEN; CHLORPHENIRAMINE MALEATE; DEXTROMETHORPHAN HYDROBROMIDE; PHENYLEPHRINE HYDROCHLORIDE","combo","SILICON DIOXIDE; STARCH, CORN; CROSCARMELLOSE SODIUM; FD&C BLUE NO. 1; MAGNESIUM STEARATE; CELLULOSE, MICROCRYSTALLINE; POVIDONE; STEARIC ACID; TITANIUM DIOXIDE; HYPROMELLOSE, UNSPECIFIED; POLYETHYLENE GLYCOL, UNSPECIFIED; CROSPOVIDONE","gluten_free","STARCH, CORN; CROSCARMELLOSE SODIUM","gluten_free; gluten_free","69168-319","69168-319-86","OTC Monograph Drug","active","Allegiant Health","3f020cf2-6011-4216-9b39-0b3dc5f0749c","https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=3f020cf2-6011-4216-9b39-0b3dc5f0749c"
"SanaTos X","Acetaminophen, Dextromethorphan HBr,Guaifenesin, Phenylephrine HCI","otc_monograph","analgesic_antipyretic","LIQUID","ORAL","DEXTROMETHORPHAN HYDROBROMIDE; ACETAMINOPHEN; GUAIFENESIN; PHENYLEPHRINE HYDROCHLORIDE","combo","ANHYDROUS CITRIC ACID; EDETATE DISODIUM; FD&C BLUE NO. 1; PROPYLENE GLYCOL; PROPYL GALLATE; SORBITOL; SUCRALOSE; XANTHAN GUM; WATER; FD&C RED NO. 40; GLYCERIN; SODIUM BENZOATE","gluten_free","XANTHAN GUM","gluten_free","55758-311","","OTC Monograph Drug","active","Pharmadel LLC","85b8ef3d-7318-7f3b-e053-2991aa0a0777","https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=85b8ef3d-7318-7f3b-e053-2991aa0a0777"
"Pain Relief","Acetaminophen 500 mg","otc_monograph","analgesic_antipyretic","TABLET","ORAL","ACETAMINOPHEN","single","STARCH, CORN; STEARIC ACID; POVIDONE; SODIUM STARCH GLYCOLATE TYPE A CORN","gluten_free","STARCH, CORN; SODIUM STARCH GLYCOLATE TYPE A CORN","gluten_free; gluten_free","69168-328","69168-328-40","OTC Monograph Drug","active","Allegiant Health","8e60b78e-ef3c-4d44-b8d4-37cb8608a5c7","https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=8e60b78e-ef3c-4d44-b8d4-37cb8608a5c7"
"Acetaminophen 500mg","Acetaminophen 500mg","otc_monograph","analgesic_antipyretic","TABLET","ORAL","Acetaminophen","single","STARCH, CORN; POVIDONE; SODIUM STARCH GLYCOLATE TYPE A CORN; STEARIC ACID","gluten_free","STARCH, CORN; SODIUM STARCH GLYCOLATE TYPE A CORN","gluten_free; gluten_free","69168-011","","OTC Monograph Drug","active","Allegiant Health","91acc132-01b6-467b-9af5-70f4dc93e087","https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=91acc132-01b6-467b-9af5-70f4dc93e087"
"Cold Multi-Symptom","Acetaminophen, Dextromethorphan HBr, Phenylephrine HCl","otc_monograph","analgesic_antipyretic","TABLET, COATED","ORAL","ACETAMINOPHEN; DEXTROMETHORPHAN HYDROBROMIDE; PHENYLEPHRINE HYDROCHLORIDE","combo","STARCH, CORN; CROSCARMELLOSE SODIUM; CROSPOVIDONE; MAGNESIUM STEARATE; MICROCRYSTALLINE CELLULOSE; POLYETHYLENE GLYCOL, UNSPECIFIED; POVIDONE; SILICON DIOXIDE; STEARIC ACID; TITANIUM DIOXIDE","gluten_free","STARCH, CORN; CROSCARMELLOSE SODIUM","gluten_free; gluten_free","69168-324","","OTC Monograph Drug","active","Allegiant Health","9a4c0c43-a71a-4e22-a3d5-9eb9622689a2","https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=9a4c0c43-a71a-4e22-a3d5-9eb9622689a2"
